"X","rank","fname","lname","country","best_qual","final","fall_qual","false_start_qual","fall_final","false_start_final","sex","event_id","lane_a","lane_b","fall_lane_a","false_start_lane_a","fall_lane_b","false_start_lane_b","first_round","quarter","semi","small_final","big_final","fall_first_round","fall_quarter","fall_semi","fall_small_final","fall_big_final","false_start_first_round","false_start_quarter","false_start_semi","false_start_small_final","false_start_big_final","tomoa_skip","year","start_date","end_date","event","dob","time_progression","age"
12,12,"yaroslav","gontaryk","UKR",6.84,7.15,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012","1993-01-01",0,19
13,13,"stanislav","kokorin","RUS",6.56,7.18,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012","1990-01-22",0,22
14,14,"evgeny","astashkin","RUS",6.95,7.41,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012","1985-01-01",0,27
15,15,"ning","zhang","CHN",7.39,7.43,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012",NA,0,22.1363636363636
16,16,"sergey","abdrakhmanov","RUS",6.43,NA,FALSE,FALSE,TRUE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012","1990-01-01",0,22
17,17,"zufar","nigmanov","RUS",7.46,NA,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012","1989-01-01",0,23
18,18,"sergiy","barkovskyy","UKR",7.52,NA,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012","1993-01-01",0,19
19,19,"artem","savelyev","RUS",7.65,NA,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012","1994-01-01",0,18
20,20,"yuhang","zhang","CHN",7.66,NA,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012","1990-01-01",0,22
21,21,"viacheslav","vedenchuk","RUS",8,NA,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012","1993-01-01",0,19
22,22,"lincai","zhong","CHN",8.05,NA,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012","1990-01-01",0,22
23,23,"guangdong","li","CHN",8.28,NA,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012","1994-01-01",0,18
24,24,"jiacuo","suolang","CHN",11.25,NA,FALSE,FALSE,FALSE,FALSE,"M",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-04-13","2012-04-14","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012","1991-01-01",0,21
25,1,"stanislav","kokorin","RUS",6.563,6.4,FALSE,FALSE,FALSE,FALSE,"M",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1990-01-22",90,22
26,2,"danyil","boldyrev","UKR",6.601,9.04,FALSE,FALSE,FALSE,FALSE,"M",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1992-05-15",90,20
27,3,"yaroslav","gontaryk","UKR",6.687,6.39,FALSE,FALSE,FALSE,FALSE,"M",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1993-01-01",90,19
28,4,"evgeny","astashkin","RUS",6.707,7.45,FALSE,FALSE,FALSE,FALSE,"M",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1985-01-01",90,27
29,5,"arsenii","shevchenko","RUS",6.891,6.68,FALSE,FALSE,FALSE,FALSE,"M",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1990-01-01",90,22
30,6,"sergey","abdrakhmanov","RUS",6.609,7.26,FALSE,FALSE,FALSE,FALSE,"M",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1990-01-01",90,22
31,7,"sergei","sinitcyn","RUS",6.858,7.29,FALSE,FALSE,FALSE,FALSE,"M",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1983-01-01",90,29
32,8,"bassa","mawem","FRA",7.072,9.34,FALSE,FALSE,FALSE,FALSE,"M",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1984-11-09",90,27
33,9,"libor","hroza","CZE",7.044,6.39,FALSE,FALSE,FALSE,FALSE,"M",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1987-01-01",90,25
34,10,"marcin","dzienski","POL",7.079,6.86,FALSE,FALSE,FALSE,FALSE,"M",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1993-01-22",90,19
35,11,"lukasz","swirk","POL",6.719,7.03,FALSE,FALSE,FALSE,FALSE,"M",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1985-01-01",90,27
36,12,"jedrzej","komosinski","POL",7.028,8.11,FALSE,FALSE,FALSE,FALSE,"M",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1988-01-01",90,24
37,13,"evgenii","vaitsekhovskii","RUS",6.758,8.45,FALSE,FALSE,FALSE,FALSE,"M",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1986-05-12",90,26
38,14,"ivan","novikov","RUS",6.604,8.7,FALSE,FALSE,FALSE,FALSE,"M",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1990-01-01",90,22
39,15,"oleksiy","yurko","UKR",6.911,NA,FALSE,FALSE,TRUE,FALSE,"M",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",NA,90,21.84
40,16,"yoann","le couster","FRA",7.222,NA,FALSE,FALSE,TRUE,FALSE,"M",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1991-01-01",90,21
41,17,"rafal","halasa","POL",7.256,NA,FALSE,FALSE,FALSE,FALSE,"M",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1994-01-01",90,18
42,18,"manuel","escobar","VEN",7.262,NA,FALSE,FALSE,FALSE,FALSE,"M",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1984-01-01",90,28
43,19,"leonardo","gontero","ITA",7.481,NA,FALSE,FALSE,FALSE,FALSE,"M",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1993-12-11",90,18
44,20,"guillaume","moro","FRA",7.62,NA,FALSE,FALSE,FALSE,FALSE,"M",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1995-01-01",90,17
45,21,"dmitrii","timofeev","RUS",7.731,NA,FALSE,FALSE,FALSE,FALSE,"M",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1993-01-01",90,19
46,22,"jan","kriz","CZE",7.76,NA,FALSE,FALSE,FALSE,FALSE,"M",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1996-01-01",90,16
47,23,"paweł","sikora","POL",8.222,NA,FALSE,FALSE,FALSE,FALSE,"M",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1993-01-01",90,19
48,24,"viacheslav","vedenchuk","RUS",8.485,NA,FALSE,FALSE,FALSE,FALSE,"M",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1993-01-01",90,19
49,25,"tomas","guevara","VEN",8.829,NA,FALSE,FALSE,FALSE,FALSE,"M",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1996-01-01",90,16
50,26,"sean","mccoll","CAN",11.49,NA,FALSE,FALSE,FALSE,FALSE,"M",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1987-09-03",90,24
51,1,"yaroslav","gontaryk","UKR",13.42,12.98,FALSE,FALSE,FALSE,FALSE,"M",734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-28","2012-07-29","IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012","1993-01-01",106,19
52,2,"evgenii","vaitsekhovskii","RUS",14.4,NA,FALSE,FALSE,TRUE,FALSE,"M",734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-28","2012-07-29","IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012","1986-05-12",106,26
53,3,"sergei","sinitcyn","RUS",14.1,16.16,FALSE,FALSE,FALSE,FALSE,"M",734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-28","2012-07-29","IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012","1983-01-01",106,29
54,4,"viacheslav","vedenchuk","RUS",15.95,20.81,FALSE,FALSE,FALSE,FALSE,"M",734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-28","2012-07-29","IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012","1993-01-01",106,19
55,5,"stanislav","kokorin","RUS",14.61,13.52,FALSE,FALSE,FALSE,FALSE,"M",734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-28","2012-07-29","IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012","1990-01-22",106,22
56,6,"michel","sirotti","ITA",18.37,16.35,FALSE,FALSE,FALSE,FALSE,"M",734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-28","2012-07-29","IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012","1987-01-01",106,25
57,7,"libor","hroza","CZE",16.95,17.62,FALSE,FALSE,FALSE,FALSE,"M",734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-28","2012-07-29","IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012","1987-01-01",106,25
58,8,"sergey","abdrakhmanov","RUS",13.74,NA,FALSE,FALSE,TRUE,FALSE,"M",734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-28","2012-07-29","IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012","1990-01-01",106,22
59,9,"arsenii","shevchenko","RUS",13.72,15.89,FALSE,FALSE,FALSE,FALSE,"M",734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-28","2012-07-29","IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012","1990-01-01",106,22
60,10,"jedrzej","komosinski","POL",14.67,16.84,FALSE,FALSE,FALSE,FALSE,"M",734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-28","2012-07-29","IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012","1988-01-01",106,24
61,11,"leonardo","gontero","ITA",13.68,17.13,FALSE,FALSE,FALSE,FALSE,"M",734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-28","2012-07-29","IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012","1993-12-11",106,18
62,12,"gianluca","sirotti","ITA",15.37,17.17,FALSE,FALSE,FALSE,FALSE,"M",734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-28","2012-07-29","IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012","1991-01-01",106,21
63,13,"paweł","sikora","POL",15.17,21.63,FALSE,FALSE,FALSE,FALSE,"M",734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-28","2012-07-29","IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012","1993-01-01",106,19
64,14,"jan","kriz","CZE",20.44,22.09,FALSE,FALSE,FALSE,FALSE,"M",734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-28","2012-07-29","IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012","1996-01-01",106,16
65,15,"lukasz","swirk","POL",13.52,NA,FALSE,FALSE,TRUE,FALSE,"M",734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-28","2012-07-29","IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012","1985-01-01",106,27
66,16,"danyil","boldyrev","UKR",15.25,NA,FALSE,FALSE,TRUE,FALSE,"M",734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-28","2012-07-29","IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012","1992-05-15",106,20
67,1,"leonardo","gontero","ITA",6.93,6.6,FALSE,FALSE,FALSE,FALSE,"M",737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-09-01","2012-09-02","IFSC Climbing Worldcup (S) - Arco (ITA) 2012","1993-12-11",141,18
68,2,"sergei","sinitcyn","RUS",6.9,6.74,FALSE,FALSE,FALSE,FALSE,"M",737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-09-01","2012-09-02","IFSC Climbing Worldcup (S) - Arco (ITA) 2012","1983-01-01",141,29
69,3,"libor","hroza","CZE",6.46,6.5,FALSE,FALSE,FALSE,FALSE,"M",737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-09-01","2012-09-02","IFSC Climbing Worldcup (S) - Arco (ITA) 2012","1987-01-01",141,25
70,4,"stanislav","kokorin","RUS",7.22,NA,FALSE,FALSE,TRUE,FALSE,"M",737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-09-01","2012-09-02","IFSC Climbing Worldcup (S) - Arco (ITA) 2012","1990-01-22",141,22
71,5,"jedrzej","komosinski","POL",7.07,6.84,FALSE,FALSE,FALSE,FALSE,"M",737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-09-01","2012-09-02","IFSC Climbing Worldcup (S) - Arco (ITA) 2012","1988-01-01",141,24
72,6,"sergey","abdrakhmanov","RUS",6.73,7.9,FALSE,FALSE,FALSE,FALSE,"M",737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-09-01","2012-09-02","IFSC Climbing Worldcup (S) - Arco (ITA) 2012","1990-01-01",141,22
73,7,"danyil","boldyrev","UKR",7.01,9.49,FALSE,FALSE,FALSE,FALSE,"M",737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-09-01","2012-09-02","IFSC Climbing Worldcup (S) - Arco (ITA) 2012","1992-05-15",141,20
74,8,"bassa","mawem","FRA",6.92,NA,FALSE,FALSE,TRUE,FALSE,"M",737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-09-01","2012-09-02","IFSC Climbing Worldcup (S) - Arco (ITA) 2012","1984-11-09",141,27
75,9,"lukasz","swirk","POL",7.18,7.12,FALSE,FALSE,FALSE,FALSE,"M",737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-09-01","2012-09-02","IFSC Climbing Worldcup (S) - Arco (ITA) 2012","1985-01-01",141,27
