"X","rank","fname","lname","country","best_qual","final","fall_qual","false_start_qual","fall_final","false_start_final","sex","event_id","lane_a","lane_b","fall_lane_a","false_start_lane_a","fall_lane_b","false_start_lane_b","quarter","semi","small_final","big_final","fall_quarter","fall_semi","fall_small_final","fall_big_final","false_start_quarter","false_start_semi","false_start_small_final","false_start_big_final","first_round","fall_first_round","false_start_first_round","tomoa_skip","year","start_date","end_date","event","dob","time_progression","age"
19,1,"aleksandra","miroslaw","POL",9.027,8.99,FALSE,FALSE,FALSE,FALSE,FALSE,732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1994-02-02",90,18
20,2,"alina","gaidamakina","RUS",9.413,9.19,FALSE,FALSE,FALSE,FALSE,FALSE,732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1990-01-01",90,22
21,3,"natalia","titova","RUS",9.639,9.4,FALSE,FALSE,FALSE,FALSE,FALSE,732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1978-01-01",90,34
22,4,"yuliya","levochkina","RUS",8.533,10.63,FALSE,FALSE,FALSE,FALSE,FALSE,732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1990-01-01",90,22
23,5,"esther","bruckner","FRA",9.735,9.26,FALSE,FALSE,FALSE,FALSE,FALSE,732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1994-01-01",90,18
24,6,"anna","tsyganova","RUS",9.471,10.62,FALSE,FALSE,FALSE,FALSE,FALSE,732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1993-01-01",90,19
25,7,"anouck","jaubert","FRA",8.971,11.26,FALSE,FALSE,FALSE,FALSE,FALSE,732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1994-01-27",90,18
26,8,"edyta","ropek","POL",9.311,NA,FALSE,FALSE,TRUE,FALSE,FALSE,732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1979-01-01",90,33
27,9,"anastasiya","savisko","UKR",10.14,9.66,FALSE,FALSE,FALSE,FALSE,FALSE,732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1990-01-01",90,22
28,10,"mariia","krasavina","RUS",10.044,9.9,FALSE,FALSE,FALSE,FALSE,FALSE,732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1990-01-01",90,22
29,11,"kseniya","polekhina","RUS",9.778,9.93,FALSE,FALSE,FALSE,FALSE,FALSE,732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1990-01-01",90,22
30,12,"stefanie","pichler","AUT",9.836,10.06,FALSE,FALSE,FALSE,FALSE,FALSE,732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1992-01-01",90,20
31,13,"klaudia","buczek","POL",10.553,10.38,FALSE,FALSE,FALSE,FALSE,FALSE,732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1991-01-01",90,21
32,14,"nataliia","stepanova","RUS",10.759,10.51,FALSE,FALSE,FALSE,FALSE,FALSE,732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1993-01-01",90,19
33,15,"alexandra","elmer","AUT",10.642,10.62,FALSE,FALSE,FALSE,FALSE,FALSE,732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1996-01-01",90,16
34,16,"margot","heitz","FRA",9.664,11.96,FALSE,FALSE,FALSE,FALSE,FALSE,732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1992-01-01",90,20
35,17,"valentina","yurina","RUS",10.896,NA,FALSE,FALSE,FALSE,FALSE,FALSE,732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1985-01-01",90,27
36,18,"iuliia","kaplina","RUS",10.907,NA,FALSE,FALSE,FALSE,FALSE,FALSE,732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1993-05-11",90,19
37,19,"monika","prokopiuk-kawecka","POL",11.025,NA,FALSE,FALSE,FALSE,FALSE,FALSE,732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1988-01-01",90,24
38,20,"nina","lach","AUT",11.704,NA,FALSE,FALSE,FALSE,FALSE,FALSE,732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1995-01-01",90,17
39,21,"jacquelyn","wu","USA",11.905,NA,FALSE,FALSE,FALSE,FALSE,FALSE,732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012","1996-01-01",90,16
40,22,"eva","krizova","CZE",14.781,NA,FALSE,FALSE,FALSE,FALSE,FALSE,732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-12","2012-07-13","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",NA,90,21.3809523809524
41,1,"edyta","ropek","POL",20.51,20.91,FALSE,FALSE,FALSE,FALSE,FALSE,734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-28","2012-07-29","IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012","1979-01-01",106,33
42,2,"klaudia","buczek","POL",22.14,21.33,FALSE,FALSE,FALSE,FALSE,FALSE,734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-28","2012-07-29","IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012","1991-01-01",106,21
43,3,"alina","gaidamakina","RUS",18.06,18.3,FALSE,FALSE,FALSE,FALSE,FALSE,734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-28","2012-07-29","IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012","1990-01-01",106,22
44,4,"yuliya","levochkina","RUS",22.78,22.78,FALSE,FALSE,FALSE,FALSE,FALSE,734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-28","2012-07-29","IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012","1990-01-01",106,22
45,5,"sara","morandi","ITA",20.09,20.63,FALSE,FALSE,FALSE,FALSE,FALSE,734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-28","2012-07-29","IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012","1989-01-01",106,23
46,6,"mariia","krasavina","RUS",22.24,20.99,FALSE,FALSE,FALSE,FALSE,FALSE,734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-28","2012-07-29","IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012","1990-01-01",106,22
47,7,"anastasiya","savisko","UKR",21.81,21.4,FALSE,FALSE,FALSE,FALSE,FALSE,734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-28","2012-07-29","IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012","1990-01-01",106,22
48,8,"monika","prokopiuk-kawecka","POL",23.33,23.04,FALSE,FALSE,FALSE,FALSE,FALSE,734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-28","2012-07-29","IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012","1988-01-01",106,24
49,9,"valentina","yurina","RUS",23.56,NA,FALSE,FALSE,NA,NA,FALSE,734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-28","2012-07-29","IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012","1985-01-01",106,27
50,10,"yulia","vaytsekhovskaya","RUS",28.59,NA,FALSE,FALSE,NA,NA,FALSE,734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-28","2012-07-29","IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012","1987-01-01",106,25
51,11,"stefanie","pichler","AUT",31.36,NA,FALSE,FALSE,NA,NA,FALSE,734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-28","2012-07-29","IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012","1992-01-01",106,20
52,12,"svetlana","motovilova","RUS",33.47,NA,FALSE,FALSE,NA,NA,FALSE,734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-28","2012-07-29","IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012","1996-01-01",106,16
53,13,"polina","shelpakova","RUS",NA,NA,TRUE,FALSE,NA,NA,FALSE,734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-07-28","2012-07-29","IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012","1996-01-01",106,16
54,1,"alina","gaidamakina","RUS",9.58,9.04,FALSE,FALSE,FALSE,FALSE,FALSE,737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-09-01","2012-09-02","IFSC Climbing Worldcup (S) - Arco (ITA) 2012","1990-01-01",141,22
55,2,"yuliya","levochkina","RUS",9.76,9.7,FALSE,FALSE,FALSE,FALSE,FALSE,737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-09-01","2012-09-02","IFSC Climbing Worldcup (S) - Arco (ITA) 2012","1990-01-01",141,22
56,3,"natalia","titova","RUS",11.13,8.96,FALSE,FALSE,FALSE,FALSE,FALSE,737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-09-01","2012-09-02","IFSC Climbing Worldcup (S) - Arco (ITA) 2012","1978-01-01",141,34
57,4,"kseniya","polekhina","RUS",10.13,8.99,FALSE,FALSE,FALSE,FALSE,FALSE,737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-09-01","2012-09-02","IFSC Climbing Worldcup (S) - Arco (ITA) 2012","1990-01-01",141,22
58,5,"monika","prokopiuk-kawecka","POL",10.29,9.85,FALSE,FALSE,FALSE,FALSE,FALSE,737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-09-01","2012-09-02","IFSC Climbing Worldcup (S) - Arco (ITA) 2012","1988-01-01",141,24
59,6,"mariia","krasavina","RUS",9.59,9.9,FALSE,FALSE,FALSE,FALSE,FALSE,737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-09-01","2012-09-02","IFSC Climbing Worldcup (S) - Arco (ITA) 2012","1990-01-01",141,22
60,7,"stefanie","pichler","AUT",9.99,10.07,FALSE,FALSE,FALSE,FALSE,FALSE,737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-09-01","2012-09-02","IFSC Climbing Worldcup (S) - Arco (ITA) 2012","1992-01-01",141,20
61,8,"margot","heitz","FRA",13.02,10.75,FALSE,FALSE,FALSE,FALSE,FALSE,737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-09-01","2012-09-02","IFSC Climbing Worldcup (S) - Arco (ITA) 2012","1992-01-01",141,20
62,9,"mariya","ustimenko","UKR",13.06,13.22,FALSE,FALSE,FALSE,FALSE,FALSE,737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-09-01","2012-09-02","IFSC Climbing Worldcup (S) - Arco (ITA) 2012","1994-01-01",141,18
63,10,"andrea","rojas","ECU",13.75,13.48,FALSE,FALSE,FALSE,FALSE,FALSE,737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-09-01","2012-09-02","IFSC Climbing Worldcup (S) - Arco (ITA) 2012","1995-01-01",141,17
64,11,"sofia","correa","ECU",17.98,15.77,FALSE,FALSE,FALSE,FALSE,FALSE,737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-09-01","2012-09-02","IFSC Climbing Worldcup (S) - Arco (ITA) 2012","1994-01-01",141,18
65,12,"edyta","ropek","POL",10.13,NA,FALSE,FALSE,TRUE,FALSE,FALSE,737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-09-01","2012-09-02","IFSC Climbing Worldcup (S) - Arco (ITA) 2012","1979-01-01",141,33
66,13,"anastasiya","savisko","UKR",10.18,NA,FALSE,FALSE,TRUE,FALSE,FALSE,737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-09-01","2012-09-02","IFSC Climbing Worldcup (S) - Arco (ITA) 2012","1990-01-01",141,22
67,14,"klaudia","buczek","POL",10.45,NA,FALSE,FALSE,TRUE,FALSE,FALSE,737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-09-01","2012-09-02","IFSC Climbing Worldcup (S) - Arco (ITA) 2012","1991-01-01",141,21
68,15,"mariya","boyko","UKR",13.32,NA,FALSE,FALSE,TRUE,FALSE,FALSE,737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-09-01","2012-09-02","IFSC Climbing Worldcup (S) - Arco (ITA) 2012","1990-01-01",141,22
69,16,"lucia","korcova","SVK",16.38,NA,FALSE,FALSE,TRUE,FALSE,FALSE,737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-09-01","2012-09-02","IFSC Climbing Worldcup (S) - Arco (ITA) 2012","1985-01-01",141,27
70,17,"simona","korcova","SVK",NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-09-01","2012-09-02","IFSC Climbing Worldcup (S) - Arco (ITA) 2012","1985-01-01",141,27
71,1,"yuliya","levochkina","RUS",8.6,8.37,FALSE,FALSE,FALSE,FALSE,FALSE,738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-09-12","2012-09-16","IFSC Climbing World Championship - Paris (FRA) 2012","1990-01-01",152,22
72,2,"iuliia","kaplina","RUS",8.8,NA,FALSE,FALSE,TRUE,FALSE,FALSE,738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-09-12","2012-09-16","IFSC Climbing World Championship - Paris (FRA) 2012","1993-05-11",152,19
73,3,"natalia","titova","RUS",9,9.22,FALSE,FALSE,FALSE,FALSE,FALSE,738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-09-12","2012-09-16","IFSC Climbing World Championship - Paris (FRA) 2012","1978-01-01",152,34
74,4,"kseniya","polekhina","RUS",9,9.24,FALSE,FALSE,FALSE,FALSE,FALSE,738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-09-12","2012-09-16","IFSC Climbing World Championship - Paris (FRA) 2012","1990-01-01",152,22
75,5,"edyta","ropek","POL",9.3,8.9,FALSE,FALSE,FALSE,FALSE,FALSE,738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2012,"2012-09-12","2012-09-16","IFSC Climbing World Championship - Paris (FRA) 2012","1979-01-01",152,33
